X;Y;TYPE;SPEED;DIRTYPE;DIRECTION
1.010.057;4.883.389;3;0;0;0
960.735;4.778.393;3;0;0;0
1.005.679;5.155.553;3;0;0;0
864.611;4.988.175;3;0;0;0
854.320;5.200.867;3;0;0;0
1.009.500;4.884.500;3;0;0;0
945.820;5.358.644;3;0;0;0
912.860;4.774.694;3;0;0;0
994.060;5.152.062;3;0;0;0
872.057;4.889.639;3;0;0;0
948.171;4.765.863;3;0;0;0
1.342.140;5.407.806;3;0;0;0
1.211.417;4.900.889;3;0;0;0
847.379;4.948.367;3;0;0;0
994.974;5.154.287;3;0;0;0
878.226;5.306.708;3;0;0;0
707.901;5.155.054;3;0;0;0
875.074;5.009.153;3;0;0;0
1.331.418;5.251.194;3;0;0;0
695.251;5.092.389;3;0;0;0
809.334;5.352.861;3;0;0;0
900.250;4.879.139;3;0;0;0
1.237.638;5.135.317;3;0;0;0
945.820;5.358.632;3;0;0;0
867.453;5.053.622;3;0;0;0
1.331.080;5.256.774;3;0;0;0
950.187;5.360.136;3;0;0;0
822.473;4.886.694;3;0;0;0
850.198;5.055.092;3;0;0;0
786.035;4.798.893;3;0;0;0
1.086.398;4.804.120;3;0;0;0
866.444;4.888.778;3;0;0;0
1.326.611;5.355.944;3;0;0;0
718.195;5.126.556;3;0;0;0
875.244;5.311.200;3;0;0;0
883.913;4.825.609;3;0;0;0
928.807;4.853.528;3;0;0;0
836.559;4.900.472;3;0;0;0
916.442;4.877.724;3;0;0;0
850.223;5.055.083;3;0;0;0
720.270;5.079.458;3;0;0;0
1.333.584;5.254.194;3;0;0;0
1.011.924;5.430.588;3;0;0;0
926.917;4.882.500;3;0;0;0
1.032.486;4.773.433;3;0;0;0
920.334;4.885.722;3;0;0;0
821.861;5.313.917;3;0;0;0
1.068.755;5.385.136;3;0;0;0
922.668;4.880.528;3;0;0;0
878.153;5.009.416;3;0;0;0
720.584;5.128.778;3;0;0;0
878.249;5.306.668;3;0;0;0
917.659;4.890.474;3;0;0;0
930.500;4.873.556;3;0;0;0
782.278;4.800.389;3;0;0;0
1.497.211;5.116.413;3;0;0;0
919.457;4.888.772;3;0;0;0
867.971;5.011.699;3;0;0;0
